mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tfidf__ngram_range,param_tfidf__max_features,param_select__k,param_nb__alpha,param_adasyn__n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.462917423248291,0.18912808101220968,0.08070521354675293,0.01071249038129025,"(1, 3)",5000,all,1.2,3,"{'tfidf__ngram_range': (1, 3), 'tfidf__max_features': 5000, 'select__k': 'all', 'nb__alpha': 1.2, 'adasyn__n_neighbors': 3}",0.4428766835655092,0.5007556101913138,0.48116285101781886,0.4767053466505494,0.4511520118128597,0.47053050064761015,0.020999963205742163,16
1.2684847354888915,0.29375649521522257,0.038582563400268555,0.05297877806418461,"(1, 3)",3000,all,1.5,10,"{'tfidf__ngram_range': (1, 3), 'tfidf__max_features': 3000, 'select__k': 'all', 'nb__alpha': 1.5, 'adasyn__n_neighbors': 10}",0.45492382567451306,,,,0.41718356594447614,,,37
0.49332008361816404,0.18010404847991032,0.010850191116333008,0.013664379723581315,"(1, 1)",3000,1500,1.3,10,"{'tfidf__ngram_range': (1, 1), 'tfidf__max_features': 3000, 'select__k': 1500, 'nb__alpha': 1.3, 'adasyn__n_neighbors': 10}",0.4700106079033809,,,,0.38965366388215517,,,37
1.0741148948669434,0.19876018897235684,0.0239471435546875,0.03309691251073703,"(1, 2)",3000,500,1.3,10,"{'tfidf__ngram_range': (1, 2), 'tfidf__max_features': 3000, 'select__k': 500, 'nb__alpha': 1.3, 'adasyn__n_neighbors': 10}",0.514932478559246,,,,0.4195600921754288,,,37
0.9885838985443115,0.33875152278866066,0.06200995445251465,0.03751113483307069,"(1, 2)",4000,1000,1.3,7,"{'tfidf__ngram_range': (1, 2), 'tfidf__max_features': 4000, 'select__k': 1000, 'nb__alpha': 1.3, 'adasyn__n_neighbors': 7}",0.4874785383941904,0.49898776060058714,0.45266929402683764,0.4738446281955929,0.4789406383000523,0.47838417190345217,0.015423277376769694,10
1.8599102020263671,0.3956690172430384,0.09504818916320801,0.03274287720894048,"(1, 3)",5000,all,0.3,7,"{'tfidf__ngram_range': (1, 3), 'tfidf__max_features': 5000, 'select__k': 'all', 'nb__alpha': 0.3, 'adasyn__n_neighbors': 7}",0.4399221095042972,0.5182698602803768,0.40216653046789874,0.4834292250857745,0.43566671803891255,0.455890888675452,0.04049647323336336,31
0.7665873527526855,0.06490228594143536,0.019066381454467773,0.0233649369464072,"(1, 2)",4000,1500,2.0,10,"{'tfidf__ngram_range': (1, 2), 'tfidf__max_features': 4000, 'select__k': 1500, 'nb__alpha': 2.0, 'adasyn__n_neighbors': 10}",0.4568304933117384,,,,0.43549069454618083,,,37
1.1756155490875244,0.3270934336065446,0.05497221946716309,0.007891699958511678,"(1, 2)",,1000,0.7,3,"{'tfidf__ngram_range': (1, 2), 'tfidf__max_features': None, 'select__k': 1000, 'nb__alpha': 0.7, 'adasyn__n_neighbors': 3}",0.501019358349484,0.5200335887515963,0.514680065708744,0.4680324269964478,0.37156054610075806,0.47506519718140605,0.054822960851431436,12
0.4517862796783447,0.03405224892720091,0.010262393951416015,0.012629295754341371,"(1, 1)",3000,500,1.5,10,"{'tfidf__ngram_range': (1, 1), 'tfidf__max_features': 3000, 'select__k': 500, 'nb__alpha': 1.5, 'adasyn__n_neighbors': 10}",0.5155726144728502,,,,0.44401092168392664,,,37
1.1453304767608643,0.24486423991157016,0.029429531097412108,0.03607900969297075,"(1, 2)",,1000,0.2,10,"{'tfidf__ngram_range': (1, 2), 'tfidf__max_features': None, 'select__k': 1000, 'nb__alpha': 0.2, 'adasyn__n_neighbors': 10}",0.44886758672599203,,,,0.368170998065013,,,37
1.0048420906066895,0.14725032098922158,0.030118322372436522,0.03818856505649465,"(1, 2)",,1000,1.8,10,"{'tfidf__ngram_range': (1, 2), 'tfidf__max_features': None, 'select__k': 1000, 'nb__alpha': 1.8, 'adasyn__n_neighbors': 10}",0.4607281079615133,,,,0.374420998065013,,,37
0.5125636100769043,0.045726232366683474,0.027578401565551757,0.0035052187973538336,"(1, 1)",3000,all,0.7999999999999999,7,"{'tfidf__ngram_range': (1, 1), 'tfidf__max_features': 3000, 'select__k': 'all', 'nb__alpha': 0.7999999999999999, 'adasyn__n_neighbors': 7}",0.4791653112965957,0.5316792344535487,0.4362892046721125,0.4828167136089764,0.42704221136266024,0.4713985350787787,0.03748228612582231,14
0.5083930492401123,0.10655782015757724,0.024129104614257813,0.003657627381722186,"(1, 1)",2000,500,0.5,7,"{'tfidf__ngram_range': (1, 1), 'tfidf__max_features': 2000, 'select__k': 500, 'nb__alpha': 0.5, 'adasyn__n_neighbors': 7}",0.5376123946160277,0.46077970930026646,0.48271627869549183,0.49186455188145045,0.5219680993371767,0.4989882067660826,0.0275510970028127,1
0.4874877452850342,0.09330884580049331,0.024508190155029298,0.003927924796930924,"(1, 1)",2000,1500,0.1,7,"{'tfidf__ngram_range': (1, 1), 'tfidf__max_features': 2000, 'select__k': 1500, 'nb__alpha': 0.1, 'adasyn__n_neighbors': 7}",0.4528975758527015,0.48394682024054314,0.4710462187784507,0.49904661691067387,0.3980526596174975,0.46099797827997335,0.03493721524993219,25
